name,population
"Glades County, FL",13724
"Gulf County, FL",16164
"Hamilton County, TX",8484
"Hardee County, FL",27245
"Hendry County, FL",41556
"Hernando County, FL",190865
"Highlands County, FL",105424
"Hillsborough County, NH",415247
"Holmes County, OH",43892
"Indian River County, FL",157413
"Leon County, TX",17270
"Levy County, FL",40770
"Liberty County, TX",86323
"Manatee County, FL",394855
"Martin County, TX",5753
"Miami-Dade County, FL",2761581
"Nassau County, NY",1358343
"Okaloosa County, FL",207269
"Okeechobee County, FL",41537
"Osceola County, MI",23341
"Palm Beach County, FL",1485941
"Pasco County, FL",539630
"Pinellas County, FL",975280
"Putnam County, WV",56682
"St. Johns County, FL",254261
"St. Lucie County, FL",321128
"Santa Rosa County, FL",179349
"Sarasota County, FL",426718
"Seminole County, OK",24578
"Suwannee County, FL",44191
"Taylor County, WI",20412
"Volusia County, FL",547538
"Wakulla County, FL",32461
"Walton County, GA",93503
"Appling County, GA",18507
"Atkinson County, GA",8297
"Bacon County, GA",11185
"Banks County, GA",18988
"Barrow County, GA",80809
"Bartow County, GA",106408
"Ben Hill County, GA",16787
"Berrien County, MI",154141
"Bleckley County, GA",12838
"Brantley County, GA",18897
"Brooks County, TX",7114
"Bryan County, OK",47192
"Bulloch County, GA",77296
"Burke County, ND",2100
"Butts County, GA",24193
"Camden County, NC",10710
"Candler County, GA",10836
"Catoosa County, GA",67420
"Charlton County, GA",12968
"Chatham County, NC",73139
"Chattahoochee County, GA",10684
"Chattooga County, GA",24790
"Clayton County, IA",17556
"Clinch County, GA",6648
"Cobb County, GA",756865
"Colquitt County, GA",45592
"Cook County, MN",5393
"Coweta County, GA",145864
"Crisp County, GA",22601
"Dade County, MO",7569
"Dawson County, TX",12619
"Decatur County, TN",11706
"Dodge County, WI",87847
"Dooly County, GA",13706
"Dougherty County, GA",91243
"Early County, GA",10247
"Echols County, GA",4000
"Effingham County, IL",34208
"Emanuel County, GA",22612
"Evans County, GA",10721
"Fannin County, TX",35286
"Floyd County, VA",15795
"Forsyth County, NC",379099
"Gilmer County, WV",8026
"Glascock County, GA",2995
"Glynn County, GA",85219
"Gordon County, GA",57685
"Grady County, OK",55551
"Gwinnett County, GA",927781
"Habersham County, GA",45388
"Hall County, TX",3028
"Hancock County, WV",29094
"Haralson County, GA",29533
"Harris County, TX",4698619
"Hart County, KY",18906
"Heard County, GA",11879
"Irwin County, GA",9398
"Jasper County, TX",35872
"Jeff Davis County, TX",2252
"Jenkins County, GA",8683
"Jones County, TX",19817
"Lanier County, GA",10340
"Laurens County, SC",66994
"Long County, GA",18998
"Lumpkin County, GA",32955
"McDuffie County, GA",21531
"McIntosh County, OK",19815
"Meriwether County, GA",21068
"Mitchell County, TX",8145
"Murray County, OK",13953
"Muscogee County, GA",194160
"Oconee County, SC",78374
"Oglethorpe County, GA",15054
"Paulding County, OH",18760
"Peach County, GA",27297
"Pierce County, WI",42555
"Quitman County, MS",7051
"Rabun County, GA",16867
"Richmond County, VA",9038
"Rockdale County, GA",90594
"Schley County, GA",5236
"Screven County, GA",13938
"Spalding County, GA",66100
"Stephens County, TX",9433
"Stewart County, TN",13561
"Talbot County, MD",36968
"Taliaferro County, GA",1608
"Tattnall County, GA",25391
"Telfair County, GA",15876
"Terrell County, TX",823
"Thomas County, NE",720
"Tift County, GA",40571
"Toombs County, GA",26887
"Towns County, GA",11852
"Treutlen County, GA",6809
"Troup County, GA",70034
"Turner County, SD",8424
"Twiggs County, GA",8188
"Upson County, GA",26215
"Walker County, TX",72480
"Ware County, GA",35680
"Warren County, VA",40003
"Wayne County, WV",39944
"Webster County, WV",8285
"Wheeler County, TX",5191
"Whitfield County, GA",104062
"Wilkes County, NC",68557
"Wilkinson County, MS",8792
"Worth County, MO",2040
"Hawaii County, HI",200983
"Honolulu County, HI",980080
"Kalawao County, HI",88
"Kauai County, HI",72133
"Maui County, HI",167207
"Ada County, ID",469966
"Bannock County, ID",87138
"Bear Lake County, ID",6050
"Benewah County, ID",9226
"Bingham County, ID",46236
"Blaine County, OK",9485
"Boise County, ID",7634
"Bonner County, ID",44727
"Bonneville County, ID",116854
"Boundary County, ID",11948
"Camas County, ID",1127
"Canyon County, ID",223499
"Caribou County, ID",7060
"Cassia County, ID",23864
"Clearwater County, MN",8810
"Gem County, ID",17634
"Gooding County, ID",15196
"Idaho County, ID",16513
"Jerome County, ID",24015
"Kootenai County, ID",161505
"Latah County, ID",40134
"Lemhi County, ID",7961
"Lewis County, WV",16024
"Minidoka County, ID",20825
"Nez Perce County, ID",40408
"Oneida County, WI",35470
"Owyhee County, ID",11693
"Payette County, ID",23551
"Power County, ID",7768
"Shoshone County, ID",12796
"Teton County, WY",23081
"Twin Falls County, ID",86081
"Valley County, NE",4190
"Alexander County, NC",37353
"Bond County, IL",16630
"Brown County, WI",263378
"Bureau County, IL",32993
"Cass County, TX",30119
"Champaign County, OH",38754
"Christian County, MO",86983
"Clinton County, PA",38684
"Coles County, IL",50885
"Cook County, IL",5211000
"Cumberland County, VA",9809
"De Witt County, IL",15769
"DuPage County, IL",928589
"Edgar County, IL",17360
"Edwards County, TX",1928
"Ford County, KS",33888
"Gallatin County, MT",111876
"Grundy County, TN",13346
"Hardin County, TX",57207
"Henderson County, TX",82299
"Iroquois County, IL",27604
"Jersey County, IL",21847
"Jo Daviess County, IL",21366
"Kane County, UT",7709
"Kankakee County, IL",110024
"Kendall County, TX",45641
"Knox County, TX",3653
"LaSalle County, IL",109430
"Livingston County, NY",63227
"McDonough County, IL",29955
"McHenry County, ND",5816
"McLean County, ND",9541
"Macoupin County, IL",45313
"Mason County, WV",26718
"Massac County, IL",14080
"Menard County, TX",2139
"Mercer County, WV",59131
"Moultrie County, IL",14717
"Ogle County, IL",50923
"Peoria County, IL",180621
